,name,n0,day,K,r,e,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
p_0,plant_annual_0,0.1,45,618,0.4,1.5018226002430133,0.16,0.0,-0.028638612906354,0.0231446815303866,0.0787669891843036,-0.0060442993377906,0.0082012505845892,0.0639150373975683,0.069561815509902,-0.013901722777796,-0.0007751132345278,-0.0238344099419636,0.0540020476991183,0.0384238718418239,-0.0064599314897604,-0.043049532489528,-0.0715632222128828,-0.0084416322013863,-0.0383480862573973,0.060354100448126,0.0869589301197208,-0.020524920520481,0.0023379298116557,-0.0130984907332871,-0.0313547241402462,0.07615378993238,-0.0419228938799447,0.0054772084626795,-0.0130645430029372,-0.003049418739137,0.0131056145296462,-0.047217053772002,0.0226677213197894,0.0272305505034957,0.00605052897199,-0.0629997255461831,0.0192811803402412,0.0358231207426091,0.0903243036717957,0.0126178422427083,0.0191166800285653,-0.0444180911026032,-0.0039291186022192,-0.0042933199809536,0.0802502876604283,-0.0564634387143639,0.001110112413132,-0.0361005216233527,0.0291524379905012,-0.0146175261307975,-0.034707663037118,0.0503687218811736,0.0390122182536649,-0.0041330758817763,-0.0158315073379458,0.0455362172821247,-0.0740765248710771,0.0060089121160666,-0.0564934926332322,0.0231231833432914,0.0109375173295263,0.0242257143887858,0.1587237630646163,0.01620965621835,0.0217783016134442,-0.0278149952423824,0.0687342207882495,-0.013523623446543,-0.0012628721359579,-0.0073247716036559,0.0037551651045237,0.1220023913434602,0.0719974557050882,0.0205404392655865,0.0508514282778067,-0.0165747734073912,-0.0141342089904088,-0.0157054014925823,0.0584584538030699,0.0036015170990428,0.0618883499925457,0.0146962247003976,-0.0172099326081157,0.0743397258260991,0.0002406549380684,-0.0018514358001755,0.033055849348361,-0.039746452799936,-0.0383832788641546,3.5918213174612745e-05,-0.0220951064941031,-0.046513591398401,0.0300925750813931,-0.0747840380961235,-0.0067360185273563,0.0064349903109623,0.0056080611921693,-0.0125028532029499,0.0723669938102284,0.095867678955726,0.0
p_1,plant_annual_1,0.1,56,506,0.3,1.2296476306196842,0.12,0.0,0.0,-0.0268345685533903,-0.0677020446857665,0.0378070437556041,0.0393547851258357,-0.0075302410610256,0.0015534480216643,-0.0129200934869045,0.0020601654409351,-0.0116779048999872,-0.0136850813072015,-0.0176782226332071,-0.1039545760066817,-0.1142394394727573,0.0224864550501942,-0.0038129887695715,0.0129590533286831,0.0056717216537569,-0.0896081985451739,-0.0168990696857388,0.035691441941011,-0.0316472760191651,-0.0280574375634884,0.0259026012195184,0.0103760758407664,-0.0319379855273216,0.1161331400028764,0.0776090124888411,0.0008007194183214,-0.0080003505280196,0.045969049018488,-0.0183798826163007,0.0579061298685004,-0.0237292231874272,-0.0097677968105963,-0.06325788723101,0.0453167776519454,0.0248128438033861,0.0629184902496238,0.0171295047036812,0.0009579905749115,-0.005176830244046,-0.0360263082654593,-0.0143482564302755,-0.0241545679414776,0.0643542400033445,0.0835855638303462,0.0250904873950175,0.0992218525948234,0.0685514893006178,-0.0154716375909623,-0.0058621257807659,0.0117993401044302,-0.036894523367882,0.1037416706335956,-0.0107602899685598,0.0306681056560103,-0.0335947588998883,-0.0182965128330652,-0.052076367300921,-0.1169713615797052,0.0111609716154263,-0.0248975328821251,-0.0274623913071996,-0.0335667454927551,0.0003550652608379,0.0152338032991112,0.0143055703605456,0.0346644247265532,-0.0149140626795821,-0.0395612199437211,-0.0594318366991496,0.0137474359816875,-0.0354322191284494,-0.0142235113953705,-0.0098562879842714,-0.0465824315772848,-0.0121123752858491,-0.0554356447256567,0.0016820550628591,0.0687783469331706,-0.0285033756716364,0.0147312566041417,-0.0274900667716707,-0.0083310657212077,0.0394363290254629,0.0033059083025575,-0.0050155013040835,0.1092966180291665,-0.0435707082759055,-0.0356473647146331,-0.0291528287806636,0.0277251884016529,0.1138956648579549,-0.010360547713094,-0.0707063735399704,-0.0245912657805995,-0.0885234560538116,0.0
p_2,plant_annual_2,0.1,36,552,0.5,1.3414337788578372,0.2,0.0,0.0,0.0,-0.0926551598654842,0.0335117553713919,-0.0306331039197631,-0.0561992861493941,0.0308689694211479,-0.0087858210328296,0.0250922614072706,0.0149264800538368,-0.0284880417921363,0.0938750662448111,0.0494895552644456,0.0222666703674982,0.003214022027085,0.0540965126003869,-0.0888898641731108,0.0008984103915126,0.0592006797953081,0.0267632549407776,0.0019031283899948,0.0143875386509706,-0.08535228787487,-0.0467483685914443,-0.060425002156515,-0.0614849465229112,0.069131045268955,0.009702047404124,0.0187617343142809,0.0055208391263075,0.034443358798476,0.1059833095966842,0.0402354579687156,0.0192073812720319,0.0115144188319387,-0.0106635876879069,0.0220352579080387,0.0119927738163523,-0.0256504063829996,-0.0251655087710488,-0.0606852074418522,-0.0594776987481739,0.0166478308150348,0.0571964631576975,0.0001923772296092,-0.0238292221273064,0.0213627807287175,0.0257376251830057,-0.0451218530364939,0.0933058146963699,0.0609737994958337,0.0145495070840488,-0.0036200633899423,0.0502597299535771,-0.0328839665161452,-0.023318688317789,-0.0030916230872352,-0.0194008994663148,-0.0003257938355771,0.1566884006794424,-0.0312570232574616,0.0177692398114848,-0.0099545612711487,0.0114518645553933,0.0432136919923196,-0.0831761424026326,-0.0035756993786918,0.0136512833937729,0.028573531323504,0.0018444161918269,-0.059826628838206,0.0187115657484921,0.072682301873088,0.022901474408512,0.0430628135490143,-0.0379908024707772,0.030297473820386,-0.0258990180677279,0.012642008288092,-0.0630265384037696,0.0999170590297962,-0.0626287752090601,0.0289057431295483,0.0825984087215276,-0.0219033319461759,-0.0260997603389772,-0.0068357909303096,0.0118784372252473,-0.0198721802321686,0.0598217346868579,-0.00439944537113,0.0550660862247063,-0.077151427827004,0.0968850448132239,-0.0805149761593999,0.008561566754311,0.0337586320157576,0.0542479627423684,0.0
p_3,plant_annual_3,0.1,28,256,0.6,0.6221142162818954,0.24,0.0,0.0,0.0,0.0,0.0954025689411754,0.0446524835492352,0.0129456855530576,-0.0167022251471884,0.0253259726349175,-0.012980358026724,0.022333553148512,-0.0570436144693767,0.0591815277423555,-0.0101347259700511,-0.0782798830919292,0.0114633833204824,0.1200993401949948,-0.0420201607921032,0.0594205404348644,-0.0523971909770519,-0.0092436063373048,-0.0081633684953955,0.0480545190678494,0.0200175522994319,0.0043629680008663,-0.1511029525860656,-0.0393569736260052,-0.0241503962329475,-0.078321717263201,0.025391207016626,-0.0034940552044108,-0.0227722137213536,-0.1018943129078391,0.0320271533969984,-0.0380044986581034,0.0579715254778097,-0.0064872745236299,-0.0198113172427419,-0.0095139567119694,0.0538882297931408,-0.0071908845216536,-0.0198997347434316,0.0433166763836099,0.0234882077512132,0.0437473048086844,-0.0091440557399595,0.0212732445772179,-0.0561361356355047,-0.0371857780186187,-0.0398361038865607,-0.0214321765064642,0.0661666977296422,0.0187646295962915,-0.0500903642179879,-0.0529693130781764,0.020029559089352,0.0255491691385307,-0.0112335650634995,0.0497364798255928,-0.0377958505856663,-0.0286815422608007,-0.0228506200606856,-0.0660140612164735,-0.0370361170592465,0.0195741197769974,-0.009541971985587,0.1167388546489329,0.008624097737454,0.0059690489098744,0.0418942013362304,0.0394904029355036,0.0153925754393124,0.0278167976994119,0.0405761436973088,-0.0562858812892892,0.127006342740672,0.0190258237220211,2.0389819802346665e-05,-0.0244059747887459,-0.026394740056184,-0.007290597761411,0.0361555553509955,-0.0055517491104337,-0.0053134164545404,-0.0483734013163855,0.0287740053463816,-0.0505100046826959,0.0355102399506179,-0.0868839828768204,0.0027098265673011,0.0271693465849014,-0.0306970912775795,-0.0115278573248182,-0.0454234326730763,0.0473768161918615,0.0147306226365488,0.0443295357133772,-0.0507598324118023,0.0794318903047466,0.0
p_4,plant_annual_4,0.1,65,599,0.3,1.4556500607533414,0.12,0.0,0.0,0.0,0.0,0.0,-0.0230310394972917,-0.0179443115199156,-0.0539036227987411,0.0244486842609295,-0.0910469891520525,0.0242511022590921,0.0414895127022867,0.0420474426073969,-0.0055169380102886,0.0088259454994092,0.0186738686214982,-0.0152782583615875,0.0297895440149871,-0.0177361565256444,0.0773246545698593,0.0843231845049612,0.0357769480347223,0.0219373552500756,0.0235404914656467,-0.0279730695899338,-0.0065387914668729,-0.0106113154194663,-0.0437618321451915,0.0546807132870315,0.0437032566446065,-0.0243452263948231,-0.032235156487296,-0.0073430481104908,0.0095694364368181,-0.0526454407258544,-0.0003375637087488,0.0321093479009053,0.0077216592165003,0.0514743957742638,-0.055583673521274,-0.0495926748751429,-0.0169954370271732,0.0057157579838889,-0.0022059552901719,-0.0150363296916822,-0.0235161166808811,-0.0117755497375732,-0.059365143362421,-0.0274308810117539,-0.0062349405439428,-0.0035791551717447,-0.0355317217819157,-0.0307764792301892,0.0059512269369998,0.0367489623583536,-0.0189314696051435,0.0056668939712261,-0.0176664459821883,0.0002873315326417,0.0451284890640912,0.0119698469121669,0.0275978575412063,0.010877358213686,-0.0847609537677124,0.0412720622700795,0.013285129540375,0.0040906270433203,0.0241149786982814,-0.0177139038896357,-0.0280675739676016,-0.1132864336753777,0.0048723744797463,0.1020447483049957,0.0824044030082158,-0.0218255524979935,-0.0221728808795975,-0.0510326074518796,0.0341610830351335,0.0333166402218803,-0.0936485364063239,0.0042443109804894,0.0467179924798097,0.0346529328072697,-0.0628435545512463,0.0513002383762819,-0.0226659778384191,-0.0258182735558347,0.0410528266289691,0.0106975139667913,-0.0046804400919475,0.1001930160693063,0.0221629484727496,0.0005804029139164,0.0114063512023185,-0.0628255827547852,-0.0747377318069559,0.0010300889645524,0.0280877618191897,0.0352615396410795,0.0
p_5,plant_annual_5,0.1,64,528,0.3,1.2831105710814097,0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099000774153416,0.0589904097624758,-0.0439966260187015,-0.024046598494728,-0.1104766119830483,0.0290768739078259,-0.0264837267119165,-0.1099157595972084,-0.0106700387438716,0.0233793834688844,0.0177358254318198,-0.0363725010768367,-0.058932217188396,-0.0155603144622795,-0.0603992778052759,0.0019683006245039,-0.0664328410115,0.0332893888440815,0.0032109187357745,-0.0114611344955993,0.0090276141706044,0.0095405837260309,0.0680002314667405,0.0168469604501926,-0.0073673255587928,0.0288979285081769,-0.0372457592759152,-0.0260754501578087,-0.0289537602525752,-0.026727679178004,-0.0240863478393176,0.037297346377237,0.0318899586584215,0.0579491278910968,0.0822171947637731,-0.0808960147123684,0.0374148603694317,-0.0180728211726324,0.010019012364216,-0.0179788591751831,-0.0449778980471442,-0.0260132523536827,-0.0772737117165064,-0.0441668280841676,0.0727052377694599,-0.0086836990607745,0.0128019917327852,-0.0786157719963895,0.002844117045984,-0.0113474743590612,-0.0541681493989607,0.0195720788933053,-0.0423700068429108,0.0191773140499424,0.0810745232379888,-0.0637829031158415,0.0229229360975504,-0.007479913293836,-0.0022799211620432,0.0449966387290647,0.0010311247922076,-0.0909311804982155,0.0323000864406917,0.021831583206975,-0.0028510465591368,0.0306310887808134,0.0216581447952886,-0.0245673793809904,-0.0238915689939247,0.0206014640451424,0.0333230298288613,0.0198962679941052,0.0132140093051305,-0.0012287707877154,-0.0328439283569039,0.001636476541813,-0.0204973505719555,-0.0001188155560227,-0.0841364122997959,0.0569856229648271,-0.053056510509055,0.0738669625220909,-0.0065984404873712,-0.0607236162418095,0.0404446835848477,-0.0134544130656252,-0.0099755497741119,0.0254415802106033,-0.0126378581707967,0.0173676487316889,0.0549086171573303,-0.0459741260176311,0.0255892918472637,0.0
p_6,plant_annual_6,0.1,29,636,0.6,1.545565006075334,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263145030879676,-0.1088072606102459,-0.0281380490252883,0.0433441399124927,0.0177413686803376,0.0111612726496226,-0.031795327842941,-0.0416619936574151,0.0325765618638949,-0.0002680368116212,-0.015137133670552,-0.0118646211158212,-0.0254753498199251,-0.1136769061786329,0.0349878644494734,-0.0171814860949456,0.0326085295849079,-0.0471787536732851,-0.0061596038243956,-0.0061781242055886,-0.0076388454210364,0.0156861427599748,0.0061252115628231,0.041767093409001,-0.040467545157664,-0.0215093301263391,-0.0450486652150108,0.0015294083101597,-0.0489761625648064,0.0140498556851162,0.0169995010244587,-0.0357313882525152,0.0187821779027272,-0.0105125620702225,0.0100646908491703,0.0220336899997357,-0.0397026984372194,0.0513590708347144,-0.0234413135472928,0.0149901796400324,0.0216929497739535,0.0722012840439696,-0.0244013144565078,0.0207591433143752,-0.0042303507434807,0.042425258099688,-0.0180634894017187,0.0390416569522671,-0.0366516274655803,0.0036486223194431,0.0174977590950278,-0.0171817817426563,-0.0223583822650091,0.0638409189730782,0.0513472299420361,0.0256533810912888,-0.0368202586267023,-0.0667947441722484,-0.0590080734267673,-0.0468589744425331,0.0134873290815089,0.036617278709061,-0.0760658248174359,-0.0242067083483061,0.0230846658801697,-0.0438230788215378,-0.0301080632386772,0.0710225383093556,0.0057389050222409,-0.01812521352156,-0.0320573450730944,-0.0906901647471749,-0.0296784055760012,0.0123636951430259,0.0073587432463468,-0.0430500573069492,-0.0144352487346911,0.0397570746349673,-0.0023829261486262,-0.0053547965090949,-0.0017304365816307,0.0081681152229451,0.0074067239591015,0.0202826903561983,0.0080053004554312,-0.0756061878689547,0.0243352540003707,0.0855716276298765,-0.0283915512622477,0.0267681011291698,-0.0430724863281003,-0.0034427348783195,0.0
p_7,plant_annual_7,0.1,65,377,0.3,0.9161603888213852,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0166084367223604,0.0272886460552641,0.063927010663813,0.089280877521503,0.0357379506363786,-0.0936339298094089,-0.0806517169469756,-0.0409575082646843,0.0159268184798324,-0.073908910708646,-0.040497145401114,-0.0011634992256583,-0.0501127044556524,0.0609986012677736,0.0170536604619899,0.0121492638091087,0.0446965226994373,-0.0131140945923388,-0.1466675531023922,0.048737741869077,-0.0152853052566344,-0.0096046275730932,-0.0810781514093967,-0.0688765314059663,-0.0205968550780165,-0.0235738689221848,0.0136353854385684,-0.0228658261659198,-0.0170952062865804,0.0230280366143889,0.0701296029147175,-0.0467486628473527,-0.0273035824033641,-0.047575217281536,-0.031244284376411,0.028718126462556,-0.0037783258525512,0.0033392216133059,-0.0615868172109556,-0.0264458802542956,-0.0221238495851744,-0.0117210652245651,-0.0017300201588515,0.0678538760352751,0.0391747264491735,-0.0135347995951111,-0.0016436478788105,-0.0244857337406908,0.0266396723933224,-0.0093196570000535,0.0537579808027872,0.1040393481478612,0.0275547309905141,-0.0423021494864663,-0.0075832702471847,-0.0495251921276795,-0.0097815068166215,-0.0652369084834447,0.034960141752949,-0.0338680095987119,-0.0273563014595475,0.0302451188123864,-0.0152298092265356,0.0077413032085555,0.0711187911688358,-0.0257742880029075,-0.0714827453524695,0.0510137083495927,0.0928409416200168,0.028910675942922,0.0137137992736549,0.0040322446664811,0.0153783253651218,0.009782441468094,-0.0337051208404312,-0.0247150441089711,-0.014604154715388,-0.1077398241226352,-0.0184911618192885,-0.0154373884462436,-0.00038336814324,0.0306872165930049,0.0571199273676064,-0.0131432411608047,0.0073509292874391,-0.036148444060068,0.0216316066902588,-0.0586811726055883,0.0166921350903963,-0.066345794328445,-0.0292931483897147,0.0
p_8,plant_annual_8,0.1,63,387,0.3,0.9404617253948968,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0299278574449621,0.0389586924359353,0.0005089716238249,-0.0098024684647586,-0.0135885171021228,0.0413513437897152,0.0502245768449503,0.0115955900450375,0.0681185419830459,-0.0583448895830578,-0.0309702002284711,0.0061190743184724,-0.0798066246339596,0.1194485823528599,-0.0272134470028652,0.0546888074542852,0.0066091659544844,-0.0034461765398029,0.0842496527292688,0.0234475324470817,-0.0848980372151811,0.034231076365057,-0.0172260778801773,0.0239542211447809,-0.0282599053360458,0.0739769248017037,-0.0511626212005099,0.0224346418816485,0.0203705624090027,-0.0414357707167065,0.0391978195313353,-0.0401812568966192,0.0851074131804503,0.0769883431303752,0.0032668597344651,-0.0052435774091244,-0.0385534731073667,0.0390051966814961,-0.0254982364783139,0.0270194529909268,0.0363615350460684,0.0501351806945198,0.0622863133261495,-0.0428922383180363,-0.0073015868669368,0.0506345956186404,0.0201181227468414,0.0083255832073501,0.026510709851754,0.0141426699174511,-0.0229276460702752,-0.0182560580710632,-0.022409346511431,-0.0290215589449464,0.0210983880601658,0.0482752877192804,0.0074357504214321,-0.0041532660434991,-0.0316931690696977,0.0142912285014771,-0.06148330211564,0.0016119689178355,0.1130011486501676,0.0386983747777223,-0.021056244129753,-0.0235549599418619,-0.0515095332637911,-0.0717614040952472,-0.0185815101578628,0.1349439887452053,0.0153166370062718,-0.0094948355939785,0.0251505788445951,-0.0327079714787188,-0.010771621552722,-0.0084860157401324,0.0280920728387796,-0.0174598043796195,0.0171539356572534,-0.0188464698762778,0.0570732169233245,0.0135717168674223,-0.0188698469373094,-0.0077436726454421,-0.0304142136463599,0.1032376740246969,-0.0955075716370728,-0.0041769003571814,0.0166971491621943,-0.0088419690808652,0.0
p_9,plant_annual_9,0.1,56,694,0.3,1.686512758201701,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0630324699435908,0.0162808183969229,-0.028470142347874,-0.054013286409052,-0.0037532826418992,-0.0056063638474376,-0.07844096523888,0.002689118974998,-0.0076946295506922,-0.0606598319443395,-0.0220277881856788,0.0283520185888594,-0.0518396986844773,0.0084431312643566,-0.087605350361809,-0.0178831589975162,0.1062169188567259,-0.0595198086483772,-0.0026065680899536,0.0129954108370635,0.0056156866160173,-0.0118072247331719,-0.0142010237136361,-0.0324365227059018,-0.002130838968734,0.0082987012942128,0.0563736212318728,-0.0125210269710643,-0.0562088695278152,-0.0317510806616112,0.0594519608968862,0.1010143092984647,0.0315034337699033,-0.0025684541334619,0.0771935335321718,-0.051203821311256,0.0143414802713444,0.0152051920596443,-0.0109785672678923,0.0194936810851651,-0.0220129148433532,-0.0220114691953383,0.1104631307621704,-0.0009046540187032,0.0486120196002819,0.1112689745350619,-0.1196999928639834,-0.0247967972895265,0.0279425131972324,0.0223305147604846,0.0126023042270935,0.0139905445448957,0.0389589093936351,-0.0055628514739162,-0.0500845348519906,0.077071655814237,0.019179684996988,0.0089690069869257,0.0594828184447258,0.0513554839807282,0.0172661377620657,0.043212025414725,-0.00341798371955,0.0500587424874128,0.0247822336592087,0.089300149076207,-0.0206304560400624,0.0090134501540823,-0.0048689355360408,0.0418222957956508,0.0207227333882671,-0.0595450350236168,0.0030713612896748,-0.0578673385192404,0.0306477166670851,0.0726902062642305,-0.0592180043591463,0.0297512427384241,0.0794866064088406,0.0523716008264361,-0.0008082808540096,0.0267562162187136,-0.055045629957519,-0.0118671730134796,-0.0486798788901225,-0.0481457169042152,0.0126197195004313,-0.0102739868243564,-0.0695156862580695,0.0
